,0,1,2
37,-1.4371980901436825e-16,-3.660317132284365e-12,-5.5995565779814135e-15
38,6.184302248306845e-17,9.80280640681838e-12,-6.752888604375708e-12
39,6.573277314538164e-17,7.997373492971641e-12,-5.509156920435734e-12
40,-5.259900816569587e-12,-2.279504009283186e-11,1.994303595737849e-14
41,5.107587857040113e-17,-1.03422113020572e-11,5.4932892497738355e-12
42,-2.6680495316327295e-10,2.4233731995754573e-08,-2.4150439725917306e-09
43,0.0,0.0,0.0
44,8.704281029278038e-12,-7.280083928534767e-11,4.134457332185772e-11
45,8.70759262898811e-12,-7.282865625166405e-11,4.1360347222117226e-11
46,6.060466066389803e-12,-1.4319063898052697e-11,2.0652952014278876e-12
47,6.061960975649403e-12,-1.4322409959328913e-11,2.065894449301438e-12
48,5.023884013266605e-12,-4.20184576767191e-11,2.3862896423095533e-11
49,4.94427077117584e-12,-1.1681816330885125e-11,1.6850799161807874e-12
50,7.090870869308416e-12,-5.930645745393387e-11,3.368084539836836e-11
51,-2.6675645849361106e-10,2.4229326501920526e-08,-2.4146047946845115e-09
52,6.056740073776815e-12,-1.4310494637719898e-11,2.0641230666435012e-12
53,-2.6676410825470684e-10,2.4230021234548346e-08,-2.414674169419973e-09
54,4.94176910459574e-12,-1.1676747699351856e-11,1.6834506956226027e-12
55,4.5992692898474645e-17,-3.940962615839757e-11,1.2417406010675822e-11
56,2.964831400222691e-17,-7.306298874926945e-12,3.880822333586786e-12
57,4.4624006967988413e-17,-3.219484685130119e-11,1.0143923042207503e-11
58,3.2090292846780916e-17,-3.21823227021988e-11,1.0139848386096289e-11
59,3.601239848476491e-17,-3.2170910398073916e-11,1.0136237440986257e-11
60,-8.718543855364099e-14,-2.4223517744406674e-11,1.6428946562691835e-11
61,6.199243569772434e-17,8.00423936448094e-12,-5.513890435461482e-12
62,7.313078679707064e-17,9.803171666011065e-12,-6.7532164884401766e-12
63,6.343147445221751e-17,8.00480275652146e-12,-5.514062150255841e-12
64,2.5591971674832372e-17,-2.2754690275522232e-11,7.169678810818186e-12
65,-2.283421332399064e-16,-5.432698116006393e-13,4.8967984005893345e-12
66,-5.708253545051348e-17,-5.512358386660058e-12,-7.344135779772416e-12
67,6.842166212225213e-17,9.797395307240782e-12,-6.748801072153404e-12
68,1.4935218068115754e-13,-1.4046176664063766e-10,1.4648217022185428e-10
69,-1.2328604577367676e-13,-3.425118296279021e-11,2.322975042399888e-11
70,1.4938091038542463e-13,-1.4051113338139974e-10,1.4653334284604554e-10
71,1.2191976358767365e-13,-1.1466638647012977e-10,1.1958065014431274e-10
72,1.494255528566134e-13,-1.4044050969097034e-10,1.4645911203017106e-10
73,1.4934220624686807e-13,-1.404668306718691e-10,1.464867308350748e-10
74,1.4941239983640505e-13,-1.404971656138843e-10,1.4651884486017765e-10
75,1.4940210615273282e-13,-1.4050770198765556e-10,1.4652966631333647e-10
76,0.0,0.0,0.0
77,5.6092993559516303e-14,-3.5185495731132927e-12,-6.7417607916580404e-12
78,1.2185581067769542e-13,-1.1460846994339506e-10,1.1952077420637713e-10
79,7.360789069061866e-17,9.800026459990815e-12,-6.751090436023222e-12
80,-5.0733102093646374e-17,-5.5138703759035765e-12,-7.345569354864155e-12
81,-6.134580075273703e-17,-6.7647813971884585e-12,-9.011896641966662e-12
82,3.499897092849672e-17,5.653026052983596e-12,-3.8938172302992765e-12
83,6.879352068114157e-17,9.79435933198852e-12,-6.74676897524512e-12
84,6.408996874995941e-17,8.004627543656467e-12,-5.514016093575701e-12
85,7.390805461777199e-17,9.806863003809545e-12,-6.75564615839986e-12
86,6.655747711029596e-17,9.796591000112034e-12,-6.748612261134023e-12
87,6.696886029135516e-17,9.808594961041421e-12,-6.756944817396152e-12
88,6.631985930076979e-17,8.000336686826651e-12,-5.5114749419022804e-12
89,0.0,0.0,0.0
90,-1.2329506812307916e-13,-3.4254191298132023e-11,2.323162032454186e-11
91,4.942698638746179e-12,-1.1679083330872852e-11,1.6839116461566394e-12
92,3.966590100470414e-17,-3.942338650192595e-11,1.2421732021034275e-11
93,-5.128054871021802e-12,4.764906447265368e-12,-1.3493699016058596e-12
94,6.443537625451932e-17,8.002217329877814e-12,-5.512679471598419e-12
95,4.651606338467849e-17,-3.943453786697415e-11,1.2425219741805463e-11
96,-6.281603810810247e-12,5.836889264123874e-12,-1.6534553249438879e-12
97,7.075498955815943e-17,-1.2664104072871391e-11,6.726646902719792e-12
98,5.613674789974404e-17,-1.2664113751702289e-11,6.72885677650513e-12
99,9.362466479885382e-16,-1.112314550841548e-11,2.0746735074460952e-11
100,-1.8155999586983786e-09,8.68581808131846e-09,4.156096182969009e-09
101,7.087585807977867e-17,-1.0342428574151615e-11,5.494306716157981e-12
102,-1.549407366296188e-11,-4.603203700884729e-11,-2.7142452406365332e-11
103,1.333097197230124e-11,3.428561075171723e-11,1.907924446201518e-11
104,-1.9133232129734102e-16,-4.48972901160452e-12,-6.527358873484459e-15
105,-6.444712451243133e-12,-2.7926550222964666e-11,2.305407321649219e-14
106,-1.5733627022557186e-16,-3.6644091533444334e-12,-5.621407137213442e-15
107,1.5035763734362383e-12,-2.577405231680945e-11,6.862566285937056e-11
108,-7.391322386560915e-12,1.1753630102311181e-11,-2.7851957082848424e-11
109,0.0,0.0,0.0
110,-9.292872282847982e-12,2.6746590374151503e-12,9.830319245130278e-12
111,-1.3153925167858757e-11,3.785307272994573e-12,1.3914726941833319e-11
112,4.530696850063948e-17,5.6468455733232405e-12,-3.890513969494311e-12
113,-3.13541336098908e-13,-3.5197957078243895e-11,1.4090781733322387e-11
114,1.0881286868884482e-11,2.7985280643947955e-11,1.557313755995072e-11
115,1.0884254646249184e-11,2.799305803679704e-11,1.557759082500503e-11
116,-2.216268460715939e-13,-2.487994669892772e-11,9.960004005401566e-12
117,-3.136918875697156e-13,-3.5217658911876464e-11,1.4098804232891669e-11
118,-2.2162187927376146e-13,-2.488607252610383e-11,9.962901616374791e-12
119,-3.1368223630301605e-13,-3.522183365574212e-11,1.4100518870832796e-11
120,1.0875732106748956e-11,2.7971215212606102e-11,1.5565675830803013e-11
121,-1.9490147353177708e-08,-6.25485238378185e-08,-0.5000088901416531
122,0.0,0.0,0.0
123,-1.9488975707177377e-08,-6.254476363700239e-08,-0.49997883133981774
124,-3.136311049743393e-13,-3.520948688426715e-11,1.4095584029210376e-11
125,-6.446364488466542e-12,-2.7933666653944904e-11,2.3097966756293178e-14
126,-1.949174719521282e-08,-6.25536579011406e-08,-0.5000499315565357
127,-3.137167739454463e-13,-3.521352922121811e-11,1.4097112596411833e-11
128,0.0,0.0,0.0
129,7.682224324531394e-12,1.9757931088729777e-11,1.0995154437664811e-11
130,-1.94883330247794e-08,-6.254270104825379e-08,-0.49996234252352867
131,-1.5512255789145206e-16,-3.665301551136218e-12,-5.510737030180891e-15
132,-1.3154375955055318e-11,3.785634099654439e-12,1.391535682618749e-11
